Timestamp,Relative Humidity (%)
07/20/2018 14:58:32,3.2
07/20/2018 14:58:34,3.2
07/20/2018 14:58:36,3.2
07/20/2018 14:58:38,3.0
07/20/2018 14:58:40,3.2
07/20/2018 14:58:42,3.2
07/20/2018 14:58:44,3.2
07/20/2018 14:58:46,3.5
07/20/2018 14:58:48,3.2
07/20/2018 14:58:50,3.2
07/20/2018 14:58:52,3.2
07/20/2018 14:58:54,3.2
07/20/2018 14:58:56,3.2
07/20/2018 14:58:58,3.2
07/20/2018 14:59:00,3.2
07/20/2018 14:59:02,3.2
07/20/2018 14:59:04,3.2
07/20/2018 14:59:06,3.2
07/20/2018 14:59:08,3.2
07/20/2018 14:59:10,3.2
07/20/2018 14:59:12,3.2
07/20/2018 14:59:14,3.0
07/20/2018 14:59:16,3.0
07/20/2018 14:59:18,3.2
07/20/2018 14:59:20,3.2
07/20/2018 14:59:22,3.2
07/20/2018 14:59:24,3.2
07/20/2018 14:59:26,3.2
07/20/2018 14:59:28,3.2
07/20/2018 14:59:30,3.2
07/20/2018 14:59:32,3.2
07/20/2018 14:59:34,3.2
07/20/2018 14:59:36,3.2
07/20/2018 14:59:38,3.2
07/20/2018 14:59:40,3.2
07/20/2018 14:59:42,3.2
07/20/2018 14:59:44,3.2
07/20/2018 14:59:46,3.2
07/20/2018 14:59:48,3.2
07/20/2018 14:59:50,3.2
07/20/2018 14:59:52,3.2
07/20/2018 14:59:54,3.2
07/20/2018 14:59:56,3.0
07/20/2018 14:59:58,3.2
07/20/2018 15:00:00,3.2
07/20/2018 15:00:02,3.2
07/20/2018 15:00:04,3.2
07/20/2018 15:00:06,3.2
07/20/2018 15:00:08,3.2
07/20/2018 15:00:11,3.2
07/20/2018 15:00:13,3.2
07/20/2018 15:00:15,3.2
07/20/2018 15:00:17,3.2
07/20/2018 15:00:19,3.2
07/20/2018 15:00:21,3.2
07/20/2018 15:00:23,3.2
07/20/2018 15:00:25,3.5
07/20/2018 15:00:27,3.2
07/20/2018 15:00:29,3.2
07/20/2018 15:00:31,3.2
07/20/2018 15:00:33,3.2
07/20/2018 15:00:35,3.2
07/20/2018 15:00:37,3.2
07/20/2018 15:00:39,3.2
07/20/2018 15:00:41,3.2
07/20/2018 15:00:43,3.2
07/20/2018 15:00:45,3.2
07/20/2018 15:00:47,3.2
07/20/2018 15:00:49,3.2
07/20/2018 15:00:51,3.2
07/20/2018 15:00:53,3.2
07/20/2018 15:00:55,3.2
07/20/2018 15:00:57,3.2
07/20/2018 15:00:59,3.2
07/20/2018 15:01:01,3.2
07/20/2018 15:01:03,3.2
07/20/2018 15:01:05,3.2
07/20/2018 15:01:07,3.2
07/20/2018 15:01:09,3.2
07/20/2018 15:01:11,3.2
07/20/2018 15:01:13,3.2
07/20/2018 15:01:15,3.2
07/20/2018 15:01:17,3.2
07/20/2018 15:01:19,3.2
07/20/2018 15:01:21,3.2
07/20/2018 15:01:23,3.2
07/20/2018 15:01:25,3.2
07/20/2018 15:01:27,3.2
07/20/2018 15:01:29,3.2
07/20/2018 15:01:31,3.0
07/20/2018 15:01:33,3.2
07/20/2018 15:01:35,3.0
07/20/2018 15:01:37,3.2
07/20/2018 15:01:39,3.2
07/20/2018 15:01:41,3.2
07/20/2018 15:01:43,3.2
07/20/2018 15:01:45,3.2
07/20/2018 15:01:47,3.0
07/20/2018 15:01:49,3.2
07/20/2018 15:01:51,3.2
07/20/2018 15:01:53,3.2
07/20/2018 15:01:55,3.2
07/20/2018 15:01:57,3.2
07/20/2018 15:01:59,3.2
